"station","year","reporting","fog_days","fog_day_pct"
170,2004,366,56,15.3
170,2005,365,29,7.95
170,2006,365,26,7.12
170,2007,365,24,6.58
170,2008,366,25,6.83
170,2009,365,40,10.96
170,2010,365,51,13.97
170,2011,365,34,9.32
170,2012,366,35,9.56
170,2013,365,35,9.59
170,2014,0,0,NA
170,2015,0,0,NA
170,2016,0,0,NA
170,2017,0,0,NA
170,2018,0,0,NA
170,2019,0,0,NA
170,2020,0,0,NA
170,2021,0,0,NA
170,2022,0,0,NA
170,2023,0,0,NA
170,2024,0,0,NA
