"period","station_days","fog_days","fog_day_pct"
"1990-1994",1822,203,11.14
"1995-1999",1824,243,13.32
"2000-2004",1822,151,8.29
"2005-2009",1822,156,8.56
"2010-2014",1822,194,10.65
"2015-2019",1824,181,9.92
"2020-2024",1458,108,7.41
